accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end,geographic_origin,host_organism,collection_date,isolation_source_detail
CP137007,Citrobacter koseri,"Citrobacter koseri strain K1219 plasmid pK1219-KPC, complete sequence",Plasmid,pK1219-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,140062,55839,65171,China,Homo sapiens,2019-02-11,sputum
KY689238,Klebsiella pneumoniae,"Klebsiella pneumoniae strain TP-P16 plasmid pKPC_P16, complete sequence",Plasmid,pKPC_P16,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,85874,68206,58874,Not specified,Not specified,Not specified,Not specified
CP118693,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPTCM2 plasmid pKPTCM2-2, complete sequence",Plasmid,pKPTCM2-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134960,76926,67594,China,Homo sapiens,2021-03-14,Patient blood
CP095248,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 21080534 plasmid p21080534_1, complete sequence",Plasmid,p21080534_1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,210914,61222,70554,China,Homo,2021-08,Diversion fluid
CP084498,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 1632 plasmid p1632-1, complete sequence",Plasmid,p1632-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,163933,105520,96188,China,Homo sapiens,2018-11-09,Not specified
CP073003,Klebsiella pneumoniae,"Klebsiella pneumoniae strain FO15 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,144365,48066,38734,Taiwan,Homo sapiens,2017-10,Not specified
CP064215,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-9 plasmid pJX9-4, complete sequence",Plasmid,pJX9-4,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,77551,42014,32682,China,Not specified,2018/2019,blood
MK396843,Klebsiella pneumoniae,"Klebsiella pneumoniae strain LSH-KPN148 plasmid pLSH-KPN148-1, complete sequence",Plasmid,pLSH-KPN148-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,227415,112995,122327,China,Not specified,Not specified,Not specified
CP125336,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WYKP586 plasmid pWYKP586-2, complete sequence",Plasmid,pWYKP586-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,110449,19360,10028,China,Homo sapiens,2022-06-17,sputum
CP125336,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WYKP586 plasmid pWYKP586-2, complete sequence",Plasmid,pWYKP586-2,Not specified,Not specified,Not specified,99.99,92.51,9333,1,1,0.0,17228.5,110449,96168,105499,China,Homo sapiens,2022-06-17,sputum
CP128072,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2016C08-090 plasmid p2016C08-090-2, complete sequence",Plasmid,p2016C08-090-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,95621,74398,83730,Taiwan,Homo sapiens,2016,blood
MF168404,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 20049 plasmid p20049-KPC, complete sequence",Plasmid,p20049-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,151653,77962,87294,China,Not specified,Not specified,Not specified
CP100100,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HSKP43 plasmid pHSKP43-2, complete sequence",Plasmid,pHSKP43-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94059,18912,28244,China,Homo sapiens,2018,sputum
CP175991,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY309 plasmid p2-ZY309, complete sequence",Plasmid,p2-ZY309,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,131321,109649,118981,China,Homo sapiens,2023-06-12,Not specified
CP160625,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP2445 plasmid pKPC-2, complete sequence",Plasmid,pKPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,100133,24629,15297,China,Homo sapiens,2017-11-20,Respiratory secretion
OR041629,Escherichia coli,"Escherichia coli strain J-JNKPN26-4 plasmid pJ-JNKPN26-4_HNK, complete sequence",Plasmid,pJ-JNKPN26-4_HNK,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,267313,124210,133542,China,Not specified,Not specified,Klebsiella pneumoniae
CP128032,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C01-021 plasmid p2018C01-021-2, complete sequence",Plasmid,p2018C01-021-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,104048,82825,92157,Taiwan,Homo sapiens,2018,Not specified
CP127977,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020N07-152 plasmid p2020N07-152-3, complete sequence",Plasmid,p2020N07-152-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,87439,66217,75549,Taiwan,Homo sapiens,2020,respiratory
CP064771,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain HS20R14 isolate HS20R14 plasmid pHS20R14-KPC-2, complete sequence",Plasmid,pHS20R14-KPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,108776,33632,42964,China,Homo sapiens,2019-01-10,sputum
CP088995,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 50700 plasmid p50700-140.6, complete sequence",Plasmid,p50700-140.6,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,140550,82878,73546,Not specified,Homo sapiens,Not specified,Not specified
CP061355,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP3020 plasmid pKPC-124, complete sequence",Plasmid,pKPC-124,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,124452,18489,27821,China,Homo sapiens,2018-09-01,Not specified
CP152445,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JXLV-KP16 plasmid p16-2, complete sequence",Plasmid,p16-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,175327,68845,78177,China,Homo sapiens,2020,Secretions
CP079210,Klebsiella pneumoniae,Klebsiella pneumoniae strain C2582 plasmid pRes_C2582,Plasmid,pRes_C2582,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128399,108792,99460,China,Homo sapiens,2017-08-29,blood
CP128062,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2016C08-207 chromosome, complete genome",Chromosome/Genome,,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,5455345,373420,382752,Taiwan,Homo sapiens,2016,blood
PX405701,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ICU-18 plasmid pICU-18, complete sequence",Plasmid,pICU-18,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,141784,35123,25791,China,Not specified,Jul-2020,Not specified
CP166480,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP3762-1 plasmid p2-KP3762_1, complete sequence",Plasmid,p2-KP3762_1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,99600,31057,21725,China,Homo sapiens,2021-06-10T14:29:00Z,Not specified
CP170657,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CQPMC-KpYD plasmid pCQPMC-KpYD1, complete sequence",Plasmid,pCQPMC-KpYD1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,132742,119635,128967,China,Homo sapiens,2024-04-17,bronchoalveolar lavage fluid
MT090959,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2079 plasmid pKP18-2079_KPC, complete sequence",Plasmid,pKP18-2079_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,186564,30707,40039,China,Homo sapiens,22-Nov-2018,blood from male
CP100086,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HSKP107 plasmid pHSKP107-2, complete sequence",Plasmid,pHSKP107-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94061,18912,28244,China,Homo sapiens,2018,sputum
CP047194,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp36 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,142228,47877,57209,China,Homo sapiens,2019-01-10,Not specified
CP157326,Escherichia coli,"Escherichia coli strain J53-KPC_Vir-TC plasmid pJ53-KPC_Vir, complete sequence",Plasmid,pJ53-KPC_Vir,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,360666,340764,350096,China,Homo sapiens,2019,Not specified
PP746480,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCNJ46 plasmid pKPC-2_SCNJ46, complete sequence",Plasmid,pKPC-2_SCNJ46,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55954,46622,China,Not specified,Not specified,Patient
MT269837,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI060 plasmid pBSI060-KPC2,Plasmid,pBSI060-KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107032,18886,28218,China,Homo sapiens,2017,blood
CP054764,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP20194b2 plasmid pKP20194b2-p2, complete sequence",Plasmid,pKP20194b2-p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,Homo sapiens,2019-04-12,sputum
CP133403,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP03 plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,132750,55903,46571,China,Homo sapiens,2022,Not specified
MT108207,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1750 plasmid pA1750-KPC, complete sequence",Plasmid,pA1750-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,111536,77902,87234,China,Not specified,Not specified,Jiangsu
CP171788,Klebsiella pneumoniae,"Klebsiella pneumoniae strain TUM24772 plasmid pMTY24772_IncFII-R, complete sequence",Plasmid,pMTY24772_IncFII-R,IncFII,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,84647,25776,16444,Japan,Homo sapiens,2024-02-07,intra-abdominal abscess
CP147744,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 20200219S1 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133695,107943,117275,China,Homo sapiens,2020-02-19,bone marrow
CP137347,Klebsiella pneumoniae,"Klebsiella pneumoniae strain H10544 plasmid pH10544-1, complete sequence",Plasmid,pH10544-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,164088,30707,40039,China,Homo sapiens,2019,Urinary tract
LT968757,Klebsiella pneumoniae,"Klebsiella pneumoniae genome assembly, plasmid: 71",Plasmid,,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,15722,13768,4436,Not specified,Not specified,Not specified,"specimen from clinical wards in a tertiary referral, 3000-bed teaching hospital in Hangzhou, Zhejiang province, China"
CP129874,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020S09-154 plasmid p2020S09-154-100k, complete sequence",Plasmid,p2020S09-154-100k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,100026,14903,5571,Taiwan,Homo sapiens,2020,Not specified
MT810375,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2014052905 plasmid p52905-KPC, complete sequence",Plasmid,p52905-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,177735,151081,160413,China,Not specified,Not specified,Beijing
CP029381,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain SCKP020079 plasmid pKPC2_020079, complete sequence",Plasmid,pKPC2_020079,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,146790,79467,88799,China,Homo sapiens,06-Dec-2016,Not specified
CP047686,Serratia marcescens,"Serratia marcescens strain 2838 plasmid p2838-KPC, complete sequence",Plasmid,p2838-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,103167,18944,28276,China,Homo sapiens,17-Dec-2018,body fluid
CP034417,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C789 plasmid pKPC-CR-hvKP-C789, complete sequence",Plasmid,pKPC-CR-hvKP-C789,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128299,70628,61296,China,Not specified,14-Apr-2016,blood specimen
MT269828,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI039 plasmid pBSI039-KPC2,Plasmid,pBSI039-KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,149027,81557,90889,China,Homo sapiens,2015,blood
CP167482,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0383 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,42998,52330,China,Homo sapiens,2019,Not specified
CP177310,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kpn-A85 plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,141007,59883,69215,China,Not specified,2024-12-10,physical
CP176045,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY308 plasmid p3-zy308, complete sequence",Plasmid,p3-zy308,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,87028,25454,34786,China,Homo sapiens,2023-06-30,Not specified
CP032166,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XJ-K1 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,99048,75400,66068,China,Homo sapiens,25-Jan-2018,urine
KU295132,Escherichia coli,"Escherichia coli strain BK34397 plasmid pBK34397, complete sequence",Plasmid,pBK34397,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,101915,21124,11792,USA,Not specified,Not specified,rectum swab
CP172074,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WH2023-10 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,139321,86693,96025,China,germ,2024-04-22,Not specified
CP063761,Klebsiella pneumoniae,"Klebsiella pneumoniae strain FRPDR plasmid pFRPDR_KPC, complete sequence",Plasmid,pFRPDR_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107554,90913,81581,China,Homo sapiens,2020-05-06,Not specified
CP025468,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JS187 plasmid p187-2, complete sequence",Plasmid,p187-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,129684,117942,127274,China,Homo sapiens,2008-12-09,Not specified
MH909338,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1759 plasmid pA1759-KPC, complete sequence",Plasmid,pA1759-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,64018,15786,25118,China,Not specified,2013,Beijing
CP064219,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-8 plasmid pJX8-2, complete sequence",Plasmid,pJX8-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,146760,41996,32664,China,Not specified,2018/2019,blood
CP084206,Escherichia coli,"Escherichia coli strain EC2648-R1 plasmid pKPC-fusion, complete sequence",Plasmid,pKPC-fusion,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,138128,25773,35105,China,Not specified,2020-09-01,conjugation assay
CP154388,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP20 plasmid pKP20-KPC, complete sequence",Plasmid,pKP20-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133696,23101,32433,China,Not specified,2020-07-15,drainage fluid
CP030316,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 11305 plasmid p11305-1, complete sequence",Plasmid,p11305-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,64018,2101,11433,China,Homo sapiens,2013,Physical
CP170829,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C06-148 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,87907,52962,43630,Taiwan,Homo sapiens,2018,Not specified
CP172458,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WYKP194 plasmid pWYKP194-2, complete sequence",Plasmid,pWYKP194-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94884,31639,22307,China,Homo sapiens,2020-01-19,Not specified
MK433207,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae K15 plasmid pK15-KPC, complete sequence",Plasmid,pK15-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,180154,40891,31559,China,pig,Sep-2018,Not specified
CP100079,Klebsiella pneumoniae,"Klebsiella pneumoniae strain RJKP36 plasmid pRJKP36-3, complete sequence",Plasmid,pRJKP36-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,108814,55132,64464,China,Homo sapiens,2018,throat swab
CP141647,Citrobacter freundii,"Citrobacter freundii strain NFYY328 plasmid pNFYY328-2, complete sequence",Plasmid,pNFYY328-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133774,45230,35898,China,Homo sapiens,2023,cerebrospinal fluid
CP129716,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C07-039 plasmid p2018C07-039-90k, complete sequence",Plasmid,p2018C07-039-90k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,90802,7485,16817,Taiwan,Homo sapiens,2018,Not specified
CP140645,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kpn_XM9 plasmid p1_Kpn_XM9, complete sequence",Plasmid,p1_Kpn_XM9,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128219,1032,10364,China,Homo sapiens,2022-01-17,Not specified
CP140645,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kpn_XM9 plasmid p1_Kpn_XM9, complete sequence",Plasmid,p1_Kpn_XM9,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128219,100552,91220,China,Homo sapiens,2022-01-17,Not specified
MW478298,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 7849 plasmid pKP7849_KPC, complete sequence",Plasmid,pKP7849_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,148977,11104,20436,China,Homo sapiens,16-Aug-2019,Not specified
CP128001,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2018C06-068 plasmid p2018C06-068-1, complete sequence",Plasmid,p2018C06-068-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,115858,94635,103967,Taiwan,Homo sapiens,2018,urine
CP119036,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CR-hvKP173 plasmid pCR-hvKP173-KPC-P2, complete sequence",Plasmid,pCR-hvKP173-KPC-P2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,144880,138824,129492,China,Homo sapiens,2018-06-07,Not specified
CP138673,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP02 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,132750,55903,46571,China,Homo sapiens,2019-02,sputum
CP170985,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2014C06-069 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94156,72933,82265,Taiwan,Homo sapiens,2014,Not specified
CP168663,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 7824 plasmid pKP13-2, complete sequence",Plasmid,pKP13-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,139321,7142,16474,China,Homo sapiens,2023-05,Not specified
CP103407,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPB80 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,139318,8361,17693,China,Homo sapiens,2021-08-06,human pancreatic cancer tissue
CP171799,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KC141 plasmid pKC141-2, complete sequence",Plasmid,pKC141-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134705,11972,21304,China,Homo sapiens,2024,sputum
CP186939,Klebsiella pneumoniae,"Klebsiella pneumoniae strain K78927 plasmid pK78927_KPC, complete sequence",Plasmid,pK78927_KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107151,57056,47724,China,Homo sapiens,2024,Not specified
CP054728,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP20194a2 plasmid pKP20194a2-p2, complete sequence",Plasmid,pKP20194a2-p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,Homo sapiens,2019-04-25,sputum
CP084211,Escherichia coli,"Escherichia coli strain EC2648-R2 plasmid pKP2648-KPCR, complete sequence",Plasmid,pKP2648-KPCR,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,102745,43973,34641,China,Not specified,2020-09-01,conjugation assay
CP168668,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 9589 plasmid pKP41-2, complete sequence",Plasmid,pKP41-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,144993,51189,60521,China,Homo sapiens,2023-05,Not specified
CP154275,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JXLV-KP54 plasmid p54-2, complete sequence",Plasmid,p54-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,116361,99408,108740,China,Homo sapiens,2020,sputum
MT810357,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1697 plasmid pA1697-KPC, complete sequence",Plasmid,pA1697-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128588,48565,57897,China,Not specified,Not specified,Kunming
MH558576,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP21-KPC plasmid, partial sequence",Plasmid,,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,11275,55,9387,China,Not specified,2010,urine
CP163294,Klebsiella pneumoniae,"Klebsiella pneumoniae strain NC75 plasmid pNC75-5, complete sequence",Plasmid,pNC75-5,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134876,72855,63523,China,Homo sapiens,2021,sputum
CP159191,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GYH-FS-1635 plasmid pGYH-FS-1635-2, complete sequence",Plasmid,pGYH-FS-1635-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,135050,76983,67651,China,Homo sapiens,2022-03-18,Drainage of fluid
CP167623,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0007 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,148547,29486,38818,China,Homo sapiens,2016,Not specified
CP125089,Klebsiella pneumoniae,"Klebsiella pneumoniae strain BAK085 plasmid pBAK085a, complete sequence",Plasmid,pBAK085a,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,113626,18952,28284,Singapore,Homo sapiens,Not specified,urine
CP066888,Klebsiella pneumoniae,"Klebsiella pneumoniae strain XHKP6 plasmid pXHKP6-1, complete sequence",Plasmid,pXHKP6-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,180300,40355,31023,China,Homo sapiens,13-Sep-2010,venipuncture tube
CP095265,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 21091025 plasmid p21091025_1, complete sequence",Plasmid,p21091025_1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55955,46623,China,Homo,2021-09,sputum
CP103319,Klebsiella pneumoniae,"Klebsiella pneumoniae plasmid pD, complete sequence",Plasmid,pD,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,83447,25776,16444,China,Homo sapiens,2021-03-10,blood
CP128783,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ARLG-4365 plasmid pARLG-4365_2, complete sequence",Plasmid,pARLG-4365_2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,71364,70498,61166,USA,Homo sapiens,2017,urine
MH643792,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain SH2 plasmid pSH2-85K-MDR, complete sequence",Plasmid,pSH2-85K-MDR,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,149033,90967,81635,China,Homo sapiens,Not specified,Not specified
CP087660,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD01635 plasmid pDD01635-3, complete sequence",Plasmid,pDD01635-3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,112390,65472,56140,China,Homo sapiens,2017-12-01,Not specified
CP176052,Escherichia coli,"Escherichia coli strain razor3 plasmid pB5-1, complete sequence",Plasmid,pB5-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,147286,81909,72577,China,Not specified,2023-09-08,An unused razor head
CP129836,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020N17-130 plasmid p2020N17-130-96k, complete sequence",Plasmid,p2020N17-130-96k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,96125,82931,92263,Taiwan,Homo sapiens,2020,Not specified
CP054758,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP20194c5 plasmid pKP20194c5-p2, complete sequence",Plasmid,pKP20194c5-p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,123177,45360,36028,China,Homo sapiens,2019-04-13,sputum
CP080299,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP-426 plasmid p426-KPC, complete sequence",Plasmid,p426-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128928,51111,41779,China,Homo sapiens,2020,Not specified
CP064237,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CR-hvKP-4 plasmid pJX4-2, complete sequence",Plasmid,pJX4-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,165027,90725,81393,China,Homo sapiens,2018/2019,Not specified
CP043345,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020039 plasmid pKPC2_020039, complete sequence",Plasmid,pKPC2_020039,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,128614,49143,58475,China,Homo sapiens,2016-11-07,Not specified
